title_normalized,company,rating,pay_percentile50,skill,years_of_experience,size,sector,industry,company_type,revenue,yearFounded,date_posted,doctoral,master,bachelor,associate,highschool_ged,years_since_founded,at_heartquartes
Analyst,UnitedHealth Group Incorporated,3.6,59856,"['Microsoft Excel', 'Data mining', 'Medicare', 'Military', 'Contracts']",1,7,Health Care,Health Care Services & Hospitals,Company - Public,$10+ billion (USD),1977,"Feb 13, 2022",0,0,1,0,0,45,0
Data Scientist,Food Management Search,-0.1,67170,"['Microsoft Powerpoint', 'Microsoft Excel', 'Data mining', 'SAS', 'Tableau', 'Java', 'SQL', 'Project management', 'Machine learning', 'Predictive analytics', 'Python']",2,1,Business Services,Staffing & Outsourcing,Company - Private,Unknown / Non-Applicable,2000,"Jan 18, 2022",0,1,1,0,0,22,0
Data Analyst,Classic Collision,3,49755,"['Bilingual', 'Statistical software', 'Spanish', 'R', 'English', 'Microsoft Office', 'Portuguese', 'Data collection', 'Communication skills', 'Python']",3,5,"Construction, Repair & Maintenance",Auto Repair & Maintenance,Company - Private,Unknown / Non-Applicable,1983,"Feb 07, 2022",0,1,1,0,0,39,0
Data Scientist,"PayPal, Inc.",4.1,110492,"['Data structures', 'R', 'Data analysis skills', 'Apache Hive', 'Research', 'SQL', 'Analysis skills', 'Machine learning', 'Risk management', 'Fraud', 'Communication skills', 'Data warehouse', 'Python', 'Time management', 'Hadoop']",0,7,Information Technology,Internet,Company - Public,$10+ billion (USD),1998,"Feb 09, 2022",0,0,1,0,0,24,0
Junior Data Scientist,Deloitte ,4,80670,"['Statistical analysis', 'Machine learning', 'Data collection', 'AI', 'Communication skills', 'Python']",2,7,Accounting & Legal,Accounting,Company - Private,$10+ billion (USD),1850,"Jan 26, 2022",0,1,1,0,0,172,0
Data Scientist,"Publix Super Markets, Inc.",3.8,120445,"['Statistical software', 'Visual Basic', 'SAS', 'R', 'NoSQL', 'Tableau', 'Databases', 'SQL', 'Machine learning', 'Data visualization', 'AI', 'SPSS', 'Python', 'Analytics']",3,7,Retail,Grocery Stores & Supermarkets,Company - Private,$10+ billion (USD),1930,"Feb 16, 2022",0,1,0,0,0,92,1
Data Scientist,Signature Flight Support Corporation,3.6,65469,"['Customer segmentation', 'Data science']",0,6,Transportation & Logistics,Transportation Management,Subsidiary or Business Segment,$1 to $2 billion (USD),1992,"Feb 02, 2022",0,0,0,0,0,30,1
Data Scientist,BrainStation Inc.,4.2,73565,"['TensorFlow', 'Microsoft Excel', 'Spark', 'R', 'Git', 'Google Cloud Platform', 'Research', 'Tableau', 'SQL', 'AWS', 'Machine learning', 'Regression analysis', 'Data science', 'Python', 'Teaching', 'Analytics', 'Hadoop']",3,3,Education,Education Training Services,Company - Private,Unknown / Non-Applicable,2012,"Jan 11, 2022",0,0,1,0,0,10,0
Data Scientist,Greenbox Capital,3.5,100155,"['Computer vision', 'Writing skills', 'R', 'SQL', 'Analysis skills', 'Machine learning', 'Deep learning', 'Natural language processing', 'Predictive analytics', 'Data collection', 'AI', 'Python']",4,1,Finance,Lending,Company - Private,Unknown / Non-Applicable,2012,"Feb 15, 2022",0,1,1,0,0,10,1
Data Scientist,"ReliaQuest, LLC",4.1,103759,"['TensorFlow', 'Elasticsearch', 'C#', 'Spark', 'R', 'Information security', 'Java', 'C++', 'C', 'Machine learning', 'JavaScript', 'Scripting', 'Python', 'Hadoop']",0,4,Information Technology,IT Services,Company - Private,Unknown / Non-Applicable,2007,"Dec 20, 2021",0,0,1,0,0,15,1
Data Scientist II,Homesite Group Incorporated,3.5,130000,"['Go', 'R', 'Git', 'Java', 'SQL', 'AWS', 'Machine learning', 'Scala', 'Deep learning', 'Python']",0,5,Insurance,Insurance Carriers,Company - Private,Unknown / Non-Applicable,1997,"Sep 16, 2021",0,1,0,0,0,25,0
Data Scientist,Carnival Corporation,3.8,95659,"['MATLAB', 'Azure', 'Data mining', 'SAS', 'Spark', 'R', 'Microsoft Office', 'Java', 'SQL', 'AWS', 'C++', 'Regression analysis', 'Weka', 'Communication skills', 'Python', 'Hadoop']",0,7,Travel & Tourism,Cruise Ships,Company - Public,$10+ billion (USD),1994,"Nov 04, 2021",1,1,1,0,0,28,0
Data Scientist,Southern Glazer's Wine & Spirits,3.5,95447,['SQL'],0,7,Business Services,Wholesale,Company - Private,$10+ billion (USD),1968,"Feb 16, 2022",0,0,0,0,0,54,0
Senior Data Scientist,Voloridge Investment Management,5,115189,"['R', 'Research', 'Databases', 'SQL', 'Statistical analysis', 'Analysis skills', 'C', 'Machine learning', 'Python']",0,1,Finance,Investment Banking & Asset Management,Company - Private,Unknown / Non-Applicable,2009,"Jan 26, 2022",0,0,1,0,0,13,1
Senior Data Scientist,"DRS Technologies, Inc.",3.8,86723,"['Power BI', 'Microsoft Excel', 'Data mining', 'Data structures', 'R', 'Microsoft SQL Server', 'Java', 'SQL', 'Analysis skills', 'C++', 'C', 'Machine learning', 'JavaScript', 'Virtualization', 'Software development', 'Data collection', 'Power Pivot', 'Communication skills', 'Python']",4,6,Aerospace & Defense,Aerospace & Defense,Subsidiary or Business Segment,$1 to $2 billion (USD),1968,"Jan 17, 2022",0,1,1,0,0,54,0
Lead Data Scientist,"Automatic Data Processing, Inc.",4,102967,"['Pricing', 'R', 'Data analysis skills', 'ADP', 'Tableau', 'SQL', 'Machine learning', 'Natural language processing', 'Regression analysis', 'Clustering', 'AI', 'Communication skills', 'Python', 'Hadoop']",3,7,Business Services,Consulting,Company - Public,$10+ billion (USD),1949,"Jan 27, 2022",0,0,0,0,0,73,0
Data Analyst,Bristol Myers Squibb Company,4,97110,"['SAS', 'R', 'Quality control', 'Clinical trials', 'Linux', 'Communication skills', 'Python', 'Shell Scripting']",0.5,7,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Public,$10+ billion (USD),1858,"Feb 08, 2022",0,1,1,0,0,164,0
Data Scientist,"Certegy Payment Solutions, LLC",4,76351,"['Statistical software', 'SAS', 'R', 'SQL', 'Machine learning', 'Regression analysis', 'Fraud', 'Data science', 'Python']",1,2,Finance,Financial Transaction Processing,Company - Private,Unknown / Non-Applicable,2001,"Aug 16, 2021",1,1,0,0,0,21,1
Data Scientist,"Elutions, Inc.",3.9,59161,"['TensorFlow', 'Power BI', 'Data structures', 'Spark', 'R', 'Research', 'SQL', 'Machine learning', 'Deep learning', 'Classroom experience', 'APIs', 'AI', 'Python']",0,1,Information Technology,Computer Hardware & Software,Company - Private,$1 to $5 million (USD),1994,"Jan 28, 2022",0,1,1,0,0,28,1
Senior Data Scientist,Johnson & Johnson,4.2,112383,"['SAS', 'R', 'SQL', 'Machine learning', 'Organizational skills', 'Predictive analytics', 'Computer skills', 'Communication skills', 'Python', 'Analytics']",7,7,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Public,$10+ billion (USD),1887,"Feb 03, 2022",1,1,1,0,0,135,0
Data Analyst,HX5 LLC,4.3,66252,[],4,5,Aerospace & Defense,Aerospace & Defense,Company - Private,$100 to $500 million (USD),2004,"Feb 10, 2022",0,1,1,1,0,18,0
Data Scientist,Fracture,4.3,77492,"['MATLAB', 'Data modeling', 'Microsoft Excel', 'Data mining', 'SAS', 'R', 'Data analysis skills', 'NoSQL', 'MongoDB', 'Tableau', '.NET', 'Databases', 'SQL', 'Analysis skills', 'Machine learning', 'Scripting', 'Regression analysis', 'Predictive analytics', 'Weka', 'Communication skills', 'Python', 'Time management']",3,2,Manufacturing,Consumer Products Manufacturing,Company - Private,$10 to $25 million (USD),2009,"Feb 02, 2022",0,0,1,0,0,13,1
Data Scientist,AECOM Technology Corporation,3.7,83210,"['Statistics', 'Power BI', 'DevOps', 'R', 'Git', 'Microsoft Office', 'Tableau', 'SQL', 'AWS', 'Machine learning', 'Regression analysis', 'AI', 'Python']",6,7,Business Services,Architectural & Engineering Services,Company - Public,$10+ billion (USD),1990,"Feb 08, 2022",0,0,0,0,0,32,0
Data Scientist III,Moffitt Cancer Center,3.9,81949,"['Data mining', 'R', 'Git', 'SQL', 'Statistical analysis', 'AWS', 'Machine learning', 'Natural language processing', 'Cloud computing', 'Data visualization', 'Communication skills', 'Python', 'Analytics']",3,6,Health Care,Health Care Services & Hospitals,Hospital,Unknown / Non-Applicable,1986,"Jan 26, 2022",0,1,1,0,0,36,1
Data Scientist,Chewy.com,3.4,103514,"['R', 'Marketing mix modeling', 'SQL', 'Attribution modeling', 'Forecasting', 'Python', 'Marketing', 'Analytics']",0,7,Retail,Pet & Pet Supplies Stores,Company - Public,$2 to $5 billion (USD),2011,"Aug 31, 2021",1,1,0,0,0,11,1
Senior Data Scientist,Bayview Asset Management LLC,4,127692,"['Pricing', 'Machine learning', 'Team management', 'Regression analysis', 'AI']",5,5,Finance,Investment Banking & Asset Management,Company - Private,$100 to $500 million (USD),1995,"Feb 02, 2022",0,0,0,0,0,27,1
Data Scientist,"General Dynamics Information Technology, Inc.",3.9,89074,['Computer science'],5,7,Information Technology,IT Services,Subsidiary or Business Segment,$2 to $5 billion (USD),1996,"Aug 21, 2021",0,0,1,0,0,26,0
Data Scientist,Bacardi Limited,4.3,94161,"['MATLAB', 'Power BI', 'Azure', 'SAS', 'Nielsen', 'Spark', 'R', 'NoSQL', 'Tableau', 'Databases', 'SQL', 'Machine learning', 'Scripting', 'Predictive analytics', 'Data visualization', 'Quantitative analysis', 'Python']",3,6,Manufacturing,Food & Beverage Manufacturing,Company - Private,Unknown / Non-Applicable,1862,"Dec 01, 2021",0,0,1,0,0,160,0
Associate Data Scientist,"QVC, Inc.",3.5,76193,"['SAS', 'Big data', 'R', 'Tableau', 'SQL', 'Attribution modeling', 'Regression analysis', 'Data science', 'Data visualization', 'Communication skills', 'Python']",2,7,Retail,"Department, Clothing, & Shoe Stores",Subsidiary or Business Segment,$5 to $10 billion (USD),1986,"Jan 18, 2022",1,1,0,0,0,36,0
Data Scientist,FIS Global,3.8,74219,"['SAS', 'R', 'Machine learning', 'Data science', 'Quantitative analysis', 'Communication skills', 'Python']",2,7,Finance,Financial Transaction Processing,Company - Public,$5 to $10 billion (USD),1968,"Oct 19, 2021",1,1,1,0,0,54,0
Senior Data Scientist,IHS Markit,4.1,75733,"['Git', 'Databases', 'SQL', 'Statistical analysis', 'AWS', 'Machine learning', 'Regression analysis', 'Communication skills', 'Python']",3,7,Business Services,Consulting,Company - Public,$2 to $5 billion (USD),2016,"Feb 14, 2022",0,0,0,0,0,6,0
Data Scientist,"Selene Finance, LP",3,82504,"['MATLAB', 'Power BI', 'R', 'SQL', 'Analysis skills', 'Machine learning', 'Geometry', 'Algebra', 'Data collection', 'Weka', 'Communication skills', 'Python']",2,4,Finance,Investment Banking & Asset Management,Company - Private,$100 to $500 million (USD),2007,"Sep 14, 2021",0,0,1,0,0,15,0
Systems Engineer,"Aerojet Rocketdyne Holdings, Inc.",3.5,89550,[],0,5,Aerospace & Defense,Aerospace & Defense,Company - Public,$100 to $500 million (USD),1942,"Oct 18, 2021",0,1,0,0,0,80,0
Machine Learning Engineer III,Navy Federal Credit Union,4,123300,"['Jira', 'CI/CD', 'Cloud infrastructure', 'Azure', 'Data mining', 'DevOps', 'Spark', 'R', 'PaaS', 'Information security', 'SQL', 'Sentiment analytics', 'Machine learning', 'Forecasting', 'Agile', 'Clustering', 'Communication skills', 'Data warehouse', 'Python', 'IaaS', 'Analytics']",0,7,Finance,Banks & Credit Unions,Self-employed,Unknown / Non-Applicable,1933,"Feb 14, 2022",0,1,1,0,0,89,0
Senior Data Scientist,Lockheed Martin Corporation,4.1,95222,"['Microsoft Excel', 'Software deployment', 'SAP', 'R', 'Lean', 'Process improvement', 'Visio', 'Microsoft Office', 'Minitab', 'SQL', 'Six Sigma', 'Machine learning', 'Data collection', 'Manufacturing', 'Communication skills', 'Python', 'CATIA', 'Creo', 'Time management']",5,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1995,"Feb 16, 2022",0,1,1,0,0,27,0
Statistician,PAREXEL International Corporation,3.6,71348,"['SAS', 'R', 'English', 'Statistical analysis', 'Quality control', 'Epidemiology', 'Clinical trials', 'Leadership', 'Communication skills']",0,7,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Private,$2 to $5 billion (USD),1982,"Feb 13, 2022",1,1,0,0,0,40,0
Principal Statistical Analyst,Warman O'Brien Limited,5,150000,"['SAS', 'Communication skills']",7,1,Business Services,Staffing & Outsourcing,Company - Private,$5 to $10 million (USD),2017,"Feb 14, 2022",0,0,0,0,0,5,0
Senior Data Analyst,"Cox Communications, Inc.",4.1,76489,"['Microsoft Powerpoint', 'Pricing', 'Microsoft Excel', 'Data mining', 'Financial modeling', 'Tableau', 'SQL', 'Presentation skills', 'Product management', 'Recruiting', 'Telecommunication', 'Communication skills', 'Python', 'Marketing', 'Analytics']",3,7,Telecommunications,"Cable, Internet & Telephone Providers",Company - Private,$10+ billion (USD),1962,"Feb 15, 2022",0,0,1,0,0,60,0
Machine Learning Engineer,Lockheed Martin Corporation,4.1,87105,"['TensorFlow', 'CI/CD', 'Big data', 'DevOps', 'Machine learning', 'Deep learning']",6,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1995,"Feb 16, 2022",0,0,0,0,0,27,0
Senior Data Analyst,UnitedHealth Group Incorporated,3.6,78203,"['Pricing', 'Power BI', 'Microsoft Excel', 'Microsoft Access', 'Financial modeling', 'SAS', 'Medical coding', 'Financial analysis', 'ICD-9', 'ICD-10', 'Analysis skills', 'CPT coding', 'SharePoint', 'Pivot tables']",5,7,Health Care,Health Care Services & Hospitals,Company - Public,$10+ billion (USD),1977,"Feb 13, 2022",0,0,1,0,0,45,0
Vice President Statistical Analysis,PAREXEL International Corporation,3.6,128950,"['Management', 'Process improvement', 'English', 'GCP', 'Root cause analysis', 'Leadership', 'Communication skills', 'Negotiation', 'Strategic planning']",10,7,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Private,$2 to $5 billion (USD),1982,"Feb 13, 2022",0,1,1,0,0,40,0
Senior Statistical Analyst,PAREXEL International Corporation,3.6,87438,"['SAS', 'Writing skills']",3,7,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Private,$2 to $5 billion (USD),1982,"Feb 13, 2022",1,1,1,0,0,40,0
Machine Learning Engineer,"CyberCoders, Inc.",4.1,175000,"['TensorFlow', 'Image processing', 'Computer vision', 'AWS', 'C++', 'Machine learning', 'Linux', 'Medical imaging', 'Python']",3,3,Business Services,Staffing & Outsourcing,Subsidiary or Business Segment,$100 to $500 million (USD),1999,"Feb 15, 2022",1,1,1,0,0,23,0
Machine Learning Engineer,Kforce Inc.,4.1,82066,"['TensorFlow', 'Data structures', 'AWS', 'Machine learning', 'APIs', 'AI', 'Python']",3,7,Information Technology,IT Services,Company - Public,$1 to $2 billion (USD),1966,"Feb 14, 2022",0,0,1,0,0,56,1
Data Analyst,Kforce Inc.,4.1,73494,"['Microsoft Powerpoint', 'Power BI', 'Microsoft Excel', 'Relational databases', 'R', 'SQL', 'Forecasting', 'Data analytics', 'Python']",3,7,Information Technology,IT Services,Company - Public,$1 to $2 billion (USD),1966,"Feb 14, 2022",0,0,1,0,0,56,0
Data Scientist,Lakeland Regional Health,3.6,70962,"['Computer science', 'COBIT', 'Spark', 'R', 'ERP systems', 'Quality management', 'Research', 'Cerner', 'SQL', 'Six Sigma', 'Computer networking', 'Allscripts', 'Python', 'Lawson', 'T-SQL', 'Analytics']",3,5,Health Care,Health Care Services & Hospitals,Nonprofit Organization,$2 to $5 billion (USD),1916,"Feb 09, 2022",1,1,0,0,0,106,1
Data Scientist,"Hertz Global Holdings, Inc.",3.1,87623,"['Azure', 'Web development', 'Software deployment', 'Tableau', 'SQL', 'AWS', 'Analysis skills', 'Machine learning', 'Cloud computing', 'Predictive analytics', 'Python']",2,7,Travel & Tourism,Car Rental,Company - Public,$5 to $10 billion (USD),1918,"Sep 30, 2021",0,1,1,0,0,104,1
Senior Data Analyst,"Bloomin' Brands, Inc.",3.8,60815,"['Power BI', 'Data analysis skills', 'SQL', 'Analysis skills', 'Project management', 'Human resources', 'Communication skills', 'Analytics']",3,7,"Restaurants, Bars & Food Services",Casual Restaurants,Company - Public,$2 to $5 billion (USD),1988,"Feb 04, 2022",0,0,1,0,0,34,1
Data Scientist,"VMware, Inc.",4.3,70247,"['R', 'Analysis skills', 'Machine learning', 'Natural language processing', 'Agile', 'VMWare', 'Communication skills', 'Python', 'Analytics']",3,7,Information Technology,Computer Hardware & Software,Company - Public,$5 to $10 billion (USD),1998,"Nov 08, 2021",0,0,0,0,0,24,0
Data Scientist,"TECO Energy, Inc.",4.1,88737,"['Power BI', 'Microsoft Excel', 'SAS', 'SAP HANA', 'Data structures', 'Microsoft SQL Server', 'Visio', 'Microsoft Office', 'SQL', 'Analysis skills', 'Machine learning', 'Predictive analytics', 'Data visualization', 'Python']",1,5,"Oil, Gas, Energy & Utilities",Energy,Company - Public,$2 to $5 billion (USD),1981,"Jan 11, 2022",0,0,1,0,0,41,1
Senior Data Analyst,Intermex Wire Transfer LLC.,3.1,80116,"['Spanish', 'Power BI', 'Microsoft Excel', 'Data analysis skills', 'English', 'Tableau', 'SQL', 'Project management', 'Attribution modeling', 'Regression analysis', 'Pivot tables', 'Data visualization', 'Communication skills', 'Python', 'Analytics']",5,4,Finance,Financial Transaction Processing,Company - Public,$100 to $500 million (USD),1994,"Dec 30, 2021",0,0,1,0,0,28,1
Statistician,Citigroup Inc.,3.9,81846,"['Statistical software', 'Spanish', 'Data mining', 'SAS', 'Writing skills', 'R', 'Data analysis skills', 'Microsoft Office', 'SQL', 'Analysis skills', 'Math', 'Regression analysis', 'Predictive analytics', 'Financial services', 'Communication skills', 'Banking']",0,7,Finance,Investment Banking & Asset Management,Company - Public,$10+ billion (USD),1812,"Feb 13, 2022",0,1,1,0,0,210,0
Senior Data Analyst,Intuit Inc.,4.5,80910,"['TensorFlow', 'Computer science', 'Kubernetes', 'DevOps', 'Data structures', 'Spark', 'R', 'NoSQL', 'Git', 'Apache Hive', 'SQL', 'AWS', 'Docker', 'Machine learning', 'Distributed systems', 'QuickBooks', 'GitHub', 'Data science', 'Redshift', 'Python']",0,6,Information Technology,Computer Hardware & Software,Company - Public,$5 to $10 billion (USD),1983,"Feb 04, 2022",0,0,0,0,0,39,0
Business Operations Manager II,Navy Federal Credit Union,4,95680,"['Power BI', 'Data mining', 'SAS', 'R', 'Tableau', 'SQL', 'Financial services', 'SPSS', 'Python', 'Analytics']",1,7,Finance,Banks & Credit Unions,Self-employed,Unknown / Non-Applicable,1933,"Feb 10, 2022",0,0,1,0,0,89,0
Statistical Analyst,Suncoast Credit Union,3.7,66107,"['Statistical software', 'Microsoft Excel', 'Microsoft Access', 'R', 'Data analysis skills', 'SQL', 'Machine learning', 'Regression analysis', 'Pivot tables', 'SPSS', 'Communication skills', 'Python']",0,5,Finance,Banks & Credit Unions,Nonprofit Organization,$100 to $500 million (USD),1934,"Feb 01, 2022",0,1,1,0,0,88,1
Associate Data Scientist,Deutsche Bank AG,3.9,54369,"['Computer science', 'Data mining', 'Big data', 'R', 'SQL', 'Database design', 'Machine learning', 'AI', 'Banking', 'Python']",0,7,Finance,Banks & Credit Unions,Company - Public,$10+ billion (USD),1870,"Dec 01, 2021",0,0,1,0,0,152,0
Senior Data Scientist,DHL International GmbH,4,83096,"['Power BI', 'English', 'Tableau', 'Databases', 'Machine learning', 'Business requirements', 'Python']",2,7,Transportation & Logistics,Logistics & Supply Chain,Company - Private,$10+ billion (USD),1969,"Oct 04, 2021",0,0,1,0,0,53,0
Data Scientist,Deloitte ,4,118595,"['TensorFlow', 'SAFe', 'Data mining', 'SAS', 'Relational databases', 'Spark', 'R', 'Data analysis skills', 'Databases', 'SQL', 'Presentation skills', 'Machine learning', 'Regression analysis', 'Agile', 'Quantitative analysis', 'Communication skills', 'Python', 'Time management', 'Hadoop']",5,7,Accounting & Legal,Accounting,Company - Private,$10+ billion (USD),1850,"Feb 03, 2022",0,0,0,0,0,172,0
Data Scientist I,Crowley Maritime Corporation,4.1,81817,"['Microsoft Powerpoint', 'Microsoft Excel', 'Microsoft Outlook', 'Data mining', 'Business analysis', 'Visio', 'Research', 'Microsoft Office', 'Financial analysis', 'Databases', 'SQL', 'Database design', 'Machine learning', 'SharePoint', 'Regression analysis', 'Data collection', 'Microsoft Project', 'AI']",3,6,Transportation & Logistics,Shipping,Company - Private,Unknown / Non-Applicable,1892,"Sep 01, 2021",0,1,0,0,0,130,1
Analytics Consultant,TransUnion LLC,4.1,80052,"['MATLAB', 'SAS', 'Relational databases', 'R', 'Survival analysis', 'Fortran', 'Java', 'SQL', 'Database design', 'C++', 'C', 'Machine learning', 'PostgreSQL', 'Perl', 'Regression analysis', 'Predictive analytics', 'Data science', 'Clustering', 'Banking', 'Python', 'Shell Scripting', 'MySQL']",0,6,Finance,Financial Analytics & Research,Company - Public,$1 to $2 billion (USD),1968,"Jan 01, 2022",0,0,0,0,0,54,0
Data Scientist,Deloitte ,4,91821,"['TensorFlow', 'Azure', 'Big data', 'Google Cloud Platform', 'AWS', 'Machine learning', 'Product management', 'Deep learning', 'Financial services', 'Data science', 'AI', 'Communication skills', 'Python', 'Marketing', 'SDLC']",2,7,Accounting & Legal,Accounting,Company - Private,$10+ billion (USD),1850,"Dec 16, 2021",0,0,1,0,0,172,0
Senior Principal Data Analyst,Northrop Grumman Corporation,4,135800,"['Laboratory experience', 'Software development', 'Technical writing', 'Agile', 'Communication skills', 'Employee evaluation', 'Debugging', 'SDLC']",9,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1939,"Feb 04, 2022",0,1,1,0,0,83,0
Senior Data Analyst,"Cox Automotive, Inc.",4.1,89213,"['Microsoft Powerpoint', 'Power BI', 'Microsoft Excel', 'Oracle', 'DB2', 'Alteryx', 'Data analysis skills', 'Microsoft SQL Server', 'Qualitative analysis', 'Microsoft Office', 'Tableau', 'SQL', 'AWS', 'Analysis skills', 'Product management', 'Scrum', 'ServiceNow', 'Agile', 'SSIS', 'Redshift', 'Quantitative analysis', 'PL/SQL', 'Python']",5,7,Information Technology,IT Services,Company - Private,Unknown / Non-Applicable,2014,"Feb 01, 2022",0,0,1,0,0,8,0
Research Engineer,TuSimple Technology Co. Ltd ,4.2,88861,"['TensorFlow', 'Research', 'C++', 'Machine learning', 'Deep learning', 'Linux', 'AI', 'Python']",3,3,Information Technology,Computer Hardware & Software,Company - Public,Unknown / Non-Applicable,2015,"Jan 17, 2022",1,1,0,0,0,7,0
Data Scientist,Recruiting from Scratch,4.9,86123,"['TensorFlow', 'Spark', 'Machine learning', 'SDKs', 'Contracts', 'Python']",0,1,Business Services,Staffing & Outsourcing,Company - Private,$1 to $5 million (USD),2019,"Oct 21, 2021",0,0,0,0,0,3,0
Database Administrator,Deloitte ,4,74270,"['Microsoft Powerpoint', 'Data management', 'Metadata', 'Informatica', 'Communication skills', 'Analytics']",0.5,7,Accounting & Legal,Accounting,Company - Private,$10+ billion (USD),1850,"Aug 20, 2021",0,0,1,0,0,172,0
Data Engineer,GalaxE.Solutions,3.6,86079,"['Accounts payable', 'Account analysis', 'Machine learning', 'AI', 'Banking']",0,5,Information Technology,Computer Hardware & Software,Company - Private,$100 to $500 million (USD),1995,"Jan 14, 2022",0,0,0,0,0,27,0
Data Scientist,Steel Point Solutions LLC,4.2,88646,"['Google AdWords', 'Data mining', 'Facebook advertising', 'D3.js', 'Spark', 'R', 'Data analysis skills', 'Apache Hive', 'Java', 'Databases', 'Statistical analysis', 'C++', 'Presentation skills', 'C', 'Product development', 'Machine learning', 'JavaScript', 'Regression analysis', 'S3', 'Web services', 'Data science', 'Redshift', 'Google Analytics', 'Communication skills', 'Python', 'MySQL', 'Hadoop']",5,1,Information Technology,Enterprise Software & Network Solutions,Self-employed,Unknown / Non-Applicable,2013,"Jan 26, 2022",1,1,0,0,0,9,0
Data Scientist,Katmai Government Services,3.7,76058,"['Microsoft Word', 'Microsoft Excel', 'Microsoft Outlook', 'Visio', 'English', 'Microsoft Office', 'Cloud computing', 'Communication skills', 'Time management']",5,5,Aerospace & Defense,Aerospace & Defense,Company - Private,$1 to $2 billion (USD),2007,"Nov 11, 2021",1,1,0,0,0,15,0
Machine Learning Engineer,Navy Federal Credit Union,4,59950,"['Jira', 'Azure', 'Software troubleshooting', 'Relational databases', 'DevOps', 'Spark', 'R', 'PaaS', 'Information security', 'SQL', 'Machine learning', 'ITIL', 'Splunk', 'ServiceNow', 'Agile', 'Communication skills', 'Data warehouse', 'Python', 'IaaS', 'Analytics']",3,7,Finance,Banks & Credit Unions,Self-employed,Unknown / Non-Applicable,1933,"Feb 10, 2022",0,0,1,0,0,89,0
Data Scientist,Momentum Consulting Corporation,4.2,84310,"['Power BI', 'Sage', 'Relational databases', 'Software deployment', 'Data structures', 'R', 'Tableau', 'Databases', 'AWS', 'Machine learning', 'Scala', 'Regression analysis', 'IT', 'Data science', 'Data collection', 'AI', 'Python', 'Analytics']",3,2,Information Technology,Enterprise Software & Network Solutions,Company - Private,$50 to $100 million (USD),1994,"Nov 16, 2021",0,1,1,0,0,28,0
Senior Data Analyst,"Raymond James Financial, Inc.",3.9,87075,"['Investment management', 'Research', 'Tableau', 'SQL', 'Statistical analysis', 'Analysis skills', 'Project management', 'Product management', 'Data analytics', 'Communication skills']",5,7,Finance,Brokerage Services,Company - Public,$5 to $10 billion (USD),1962,"Jan 06, 2022",0,0,1,0,0,60,1
Data Scientist,"Chico's FAS, Inc.",3.2,49026,"['Data mining', 'R', 'Microsoft Office', 'SQL', 'Machine learning', 'Regression analysis', 'Predictive analytics', 'Data science', 'Data collection', 'Python', 'Analytics']",5,7,Retail,"Department, Clothing, & Shoe Stores",Company - Public,$2 to $5 billion (USD),1983,"Aug 18, 2021",0,1,1,0,0,39,1
Lead Data Scientist,"Chick-fil-A, Inc.",3.9,90501,"['Statistics', 'Big data', 'R', 'Research', 'SQL', 'AWS', 'Analysis skills', 'Machine learning', 'Forecasting', 'Communication skills', 'Python']",0.5,6,"Restaurants, Bars & Food Services",Fast-Food & Quick-Service Restaurants,Company - Private,$5 to $10 billion (USD),1946,"Jan 28, 2022",0,1,1,0,0,76,1
Data Scientist,"Cox Communications, Inc.",4.1,99498,"['TensorFlow', 'Oracle', 'Spark', 'Tableau', 'SQL', 'Statistical analysis', 'Machine learning', 'Communication skills', 'Python', 'Hadoop']",1,7,Telecommunications,"Cable, Internet & Telephone Providers",Company - Private,$10+ billion (USD),1962,"Jan 12, 2022",0,0,0,0,0,60,1
Data Scientist,General Motors Corporation,4,77642,"['TensorFlow', 'Azure', 'Oracle', 'Kubernetes', 'Relational databases', 'DevOps', 'Spark', 'R', 'SQL', 'Database management', 'Docker', 'Machine learning', 'PostgreSQL', 'Scala', 'Agile', 'Python']",3,7,Manufacturing,Transportation Equipment Manufacturing,Company - Public,$10+ billion (USD),1908,"Feb 14, 2022",0,0,1,0,0,114,0
Statistician,PAREXEL International Corporation,3.6,62699,"['Biostatistics', 'English', 'Statistical analysis', 'Analysis skills']",0,7,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Private,$2 to $5 billion (USD),1982,"Feb 13, 2022",0,1,1,0,0,40,0
Senior Data Scientist,"Indeed, Inc.",4.4,151000,"['Data modeling', 'Data mining', 'Spark', 'R', 'Data analysis skills', 'MongoDB', 'Java', 'SQL', 'C++', 'Machine learning', 'Scala', 'Apache Pig', 'AI', 'Python', 'Analytics', 'Hadoop']",5,7,Information Technology,Internet,Company - Private,$2 to $5 billion (USD),2004,"Feb 16, 2022",0,0,1,0,0,18,0
